layer,series,spname1,Group_1,spname2,Group_2
IML,MCZJJ,d29p24b,0.114011,d29p29,0.034164
IML,MCZJJ,d33p21a,0.0634536,d33p26,0.063143
IML,MCZJJ,d33p24,0.0481617,d33p32,0.0366729
IML,MCZJJ,d33p24,0.0481617,d33p39,0.0484625
IML,MCZJJ,d33p32,0.0366729,d33p39,0.0484625
IML,MCZJJ,d33p36,0.0263279,d33p40,0.0447711
IML,MCZJJ,d33p37,0.0622171,d33p46,0.040599
IML,RJZQR,d04p24,0.0397968,d04p30,0.0807279
IML,RJZQR,d04p28,0.0342343,d04p34,0.0294232
IML,RJZQR,d08p20b,0.0129853,d08p18,0.0608901
IML,RJZQR,d08p27,0.0427152,d08p31,0.0260066
IML,RJZQR,d08p33,0.022211,d08p43,0.0427249
IML,RJZQR,d08p35,0.0653026,d08p40,0.0266484
IML,RJZQR,d16p08,0.0414499,d16p09,0.074371
IML,RJZQR,d16p14,0.034942,d16p16,0.0597367
IML,JNBMM,d05p16,0.0348376,d05p17,0.00576962
IML,JNBMM,d39p31,0.0196643,d39p36,0.0263103
IML,BRNLG,d05p13,0.0369621,d05p25,0.0485206
IML,BRNLG,d20p07,0.0341143,d20p12,0.0487387
IML,BRNLG,d20p09,0.0193853,d20p13,0.0261056
IML,BRNLG,d20p10,0.0737029,d20p11,0.0470166
IML,BRNLG,d20p10,0.0737029,d20p19,0.0411884
IML,BRNLG,d20p11,0.0470166,d20p19,0.0411884
IML,BRNLG,d20p22,0.0302352,d20p26,0.0588858
IML,BRNLG,d40p23,0.0747114,d40p27,0.0532884
IML,BRNLG,d40p28,0.0542288,d40p30,0.0393252
IML,YPMYD,d22p23,0.0363485,d22p28,0.0140791
IML,YPMYD,d36p23,0.114673,d36p27,0.0284119
IML,YPMYD,d36p05a,0.0699227,d36p08,0.129595
IML,YPMYD,d36p13a,0.0129143,d36p13b,0.0173317
IML,YPMYD,d45p13,0.0395854,d45p12b,0.0126027
IML,YPMYD,d45p13,0.0395854,d45p40,0.0120082
IML,YPMYD,d45p12b,0.0126027,d45p40,0.0120082
IML,YPMYD,d45p14,0.0240524,d45p15b,0.0334984
IML,YPMYD,d45p41,0.0296868,d45p18,0.0796431
IML,YPMYD,d45p20,0.0535812,d45p24,0.0525402
IML,YPMYD,d45p21a,0.0267228,d45p44,0.0494393
IML,YPMYD,d45c21b,0.0437807,d45p27,0.0291141
IML,YPMYD,d45p15a,0.058081,d45p23,0.0623121
IML,LFLNP,d28p15,0.0590314,d28p17,0.010128
IML,LFLNP,d28p16,0.0518963,d28p22,0.0570799
IML,LFLNP,d39p08,0.0469881,d39p13,0.0364602
IML,LFLNP,d39p23,0.0294981,d39p30,0.021993
IML,LFLNP,d39p23,0.0294981,d39p35,0.0371099
IML,LFLNP,d39p30,0.021993,d39p35,0.0371099
IML,LFLNP,d39p25,0.203815,d39p32b,0.0378612
IML,LFLNP,d63p22,0.0456052,d63p23,0.0378916
IML,LFLNP,d63p24,0.050051,d63p27,0.0740486
IML,TYLYL,d51p05,0.0367209,d51p11,0.031755
IML,TYLYL,d51p13,0.086324,d51p14,0.0570747
IML,TYLYL,d61p12,0.0151554,d61p20,0.012817
IML,TYLYL,d61p14a,0.0408273,d61p19,0.0273472
IML,TYLYL,d61p26,0.00759269,d61p37,0.256135
IML,TYLYL,d63p12,0.0316885,d63p36,0.0322725
IML,TYLYL,d63p19,0.0357899,d63p24,0.0369257
OML,CSKBZ,d11p06b,0.0204937,d11p13b,0.0097843
OML,CSKBZ,d11p41,0.0413488,d11p28,0.0304672
OML,CSKBZ,d90p12,0.0366196,d90p13,0.0267216
OML,CSKBZ,d90p15,0.106659,d90p17,0.0475899
OML,CSKBZ,d90p16,0.0478269,d90p21,0.0290213
OML,MPLTJ,d10p17,0.0676557,d10p24,0.0423917
OML,MPLTJ,d10p20,0.048876,d10p21,0.0239301
OML,MPLTJ,d25p07,0.138405,d25p08,0.0624768
OML,MPLTJ,d25p14,0.0273445,d25p18,0.00875687
OML,MPLTJ,d25p23,0.0472611,d25p24,0.049913
OML,RLCVK,d50p04,0.0878746,d50p05,0.0358777
OML,RLCVK,d50p16,0.0233213,d50p17,0.0283591
OML,RLCVK,d57p06a,0.0164632,d57p08,0.0106328
OML,RLCVK,d63p02,0.0182299,d63p07,0.150771
OML,SRQHN,d01p07,0.036463,d01p13,0.0173314
OML,SRQHN,d01p08,0.0455425,d01p14,0.0202321
OML,SRQHN,d01p11,0.0989208,d01p20,0.0640273
OML,SRQHN,d01p15,0.0348403,d01p17,0.00627804
OML,SRQHN,d01p21,0.0288448,d01p25,0.0882482
OML,SRQHN,d34p22,0.0274425,d34p29a,0.0493281
OML,SRQHN,d34p25,0.0247761,d34p35,0.0201378
OML,DTZVX,d06p12,0.0152663,d06p15,0.0561542
OML,DTZVX,d06p12,0.0152663,d06p18,0.0106417
OML,DTZVX,d06p15,0.0561542,d06p18,0.0106417
OML,DTZVX,d09p16,0.0406387,d09p18,0.0283473
OML,DTZVX,d13p10,0.0243366,d13p15,0.0405174
OML,DTZVX,d13p17,0.04298,d13p20,0.0343373
OML,RFHTC,d02p14,0.0386197,d02p22,0.0380236
OML,RFHTC,d02p21,0.0129178,d02p23,0.025508
OML,RFHTC,d02p27,0.0203824,d02p35,0.0458113
OML,RFHTC,d02p28b,0.0175924,d02p41,0.0272731
OML,RFHTC,d02p28b,0.0175924,d02p34,0.0479882
OML,RFHTC,d02p41,0.0272731,d02p34,0.0479882
OML,RFHTC,d02p30,0.036927,d02p32,0.0332667
OML,RFHTC,d52p20,0.0190252,d52p25,0.0419401
OML,RFHTC,d52p24,0.0609017,d52p26,0.0361173
OML,RFHTC,d52p29a,0.02422,d52p31a,0.0351275
OML,RFHTC,d52p29b,0.0352668,d52p31b,0.0313726
OML,RFHTC,d57p14,0.0360846,d57p21,0.0358635
OML,RFHTC,d57p19,0.0173418,d57p20,0.0310987
OML,DRZNC,d13p12,0.0358346,d13p19,0.0297304
OML,DRZNC,d13p16,0.0436797,d13p17b,0.0307066
OML,DRZNC,d13p22,0.0282138,d13p26a,0.00890622
OML,DRZNC,d13p26b,0.0415247,d13p32,0.0427627
OML,DRZNC,d13p06,0.144401,d13p18a,0.0261998
OML,DRZNC,d38p10,0.0125146,d38p17,0.0144927
OML,DRZNC,d38p18,0.0248827,d38p23,0.0249382
OML,DRZNC,d38p20,0.032593,d38p29a,0.0136264
OML,DRZNC,d38p16,0.0354931,d38p33,0.0155592
OML,DRZNC,d63p21,0.0868212,d63p29,0.014566
OML,DRZNC,d63p21,0.0868212,d63p34,0.0247527
OML,DRZNC,d63p21,0.0868212,d63p40a,0.0790041
OML,DRZNC,d63p29,0.014566,d63p34,0.0247527
OML,DRZNC,d63p29,0.014566,d63p40a,0.0790041
OML,DRZNC,d63p34,0.0247527,d63p40a,0.0790041
OML,DRZNC,d63p23,0.0183695,d63p37,0.125973
